Epoch,D_loss,G_loss,D_loss_change_%,G_loss_change_%,D_to_G_ratio
316,-13.8976,-3.8271,5.55433189278689,-225.65171711865523,-3.631365786104361
317,-11.8206,-0.0562,-14.945026479392121,-98.53152517572053,-210.33096085409255
318,-13.0568,-6.2183,10.45801397560191,10964.59074733096,-2.09973787047907
319,-11.1579,-4.0189,-14.54337969487165,-35.369795603299934,-2.7763567145238746
320,-11.8848,-5.9896,6.5146667383647605,49.035805817512255,-1.9842393482035527
321,-12.5949,-7.7123,5.974858642972536,28.761519967944427,-1.633092592352476
322,-10.8682,-1.9952,-13.70951734432192,-74.12963707324663,-5.447173215717722
323,-13.8955,-1.3216,27.854658545113264,-33.76102646351242,-10.514149515738499
324,-11.35,-7.0042,-18.318880213018605,429.97881355932196,-1.6204562976499814
325,-13.683,-8.1192,20.55506607929516,15.919020016561491,-1.6852645580845405
326,-11.8203,2.7842,-13.613242709932038,-134.29155581830722,4.245492421521442
327,-10.0826,1.9359,-14.70098051656895,-30.468357158250125,5.208223565266801
328,-8.9913,0.2816,-10.823597088052672,-85.45379410093497,31.929332386363637
329,-15.3617,5.3814,70.85071124309054,1811.0085227272727,2.854591741925893
330,-10.1329,-0.6099,-34.037899451232626,-111.33348199353328,-16.614035087719298
331,-11.7947,3.322,16.400043422909548,-644.679455648467,3.5504816375677306
332,-9.4854,-1.6336,-19.57913300041544,-149.1751956652619,-5.8064397649363375
333,-16.0497,4.9719,69.20425074324751,-404.3523506366308,3.228081819827431
334,-10.9335,-2.0011,-31.877231350118695,-140.2481948550856,-5.463744940282845
335,-12.298,3.8188,12.479992683038365,-290.83504072759985,3.220383366502566
336,-10.9457,-0.5424,-10.996096926329479,-114.20341468524144,-20.180125368731563
